timestamp,symbol,strategy,action,price,quantity,order_type,tp_price,sl_price
2025-11-21 15:02:00.885489,T,VWAP_Trend,BUY,MARKET,10,MARKET,,
2025-11-21 15:02:08.473056,WMT,MA_Crossover_50_200,BUY,108.94,10,BRACKET,113.3,106.76
2025-11-21 15:02:12.080737,DUK,MA_Crossover_50_200,BUY,124.25,10,BRACKET,129.22,121.77
2025-11-21 15:02:15.532951,CSX,MA_Crossover_50_200,BUY,34.24,10,BRACKET,35.61,33.56
2025-11-21 15:02:20.599253,ONDS,MA_Crossover_50_200,BUY,6.35,10,BRACKET,6.6,6.22
2025-11-21 15:15:47.071196,BBAI,MA_Crossover_50_200,BUY,5.65,10,BRACKET,5.88,5.54
2025-11-21 15:23:35.213390,HOOD,MA_Crossover_50_200,BUY,107.39,10,BRACKET,111.69,105.24
2025-11-21 15:28:26.708666,NVRI,VWAP_Trend,BUY,18.88,10,BRACKET,19.64,18.5
2025-11-21 15:44:24.492470,NMR,MA_Crossover_50_200,BUY,7.04,10,BRACKET,7.32,6.9
2025-11-21 15:49:22.728043,LEN,MA_Crossover_50_200,BUY,117.77,10,BRACKET,122.48,115.41
2025-11-21 15:53:27.990685,ETHU,MA_Crossover_50_200,BUY,51.02,10,BRACKET,53.06,50.0
2025-11-21 16:30:46.360058,CIFR,MA_Crossover_50_200,BUY,14.93,10,BRACKET,15.53,14.63
2025-11-21 16:31:19.313044,BBAI,MA_Crossover_50_200,BUY,5.53,10,BRACKET,5.75,5.42
2025-11-21 16:31:51.292540,SOXL,MA_Crossover_50_200,BUY,31.03,10,BRACKET,32.27,30.41
2025-11-21 16:32:04.918656,SQQQ,VWAP_Trend,BUY,81.01,10,BRACKET,84.25,79.39
2025-11-21 16:32:08.285433,IONZ,VWAP_Trend,BUY,6.19,10,BRACKET,6.44,6.07
2025-11-21 16:32:19.463211,NVD,VWAP_Trend,BUY,8.81,10,BRACKET,9.16,8.63
2025-11-21 16:32:23.411959,MSTZ,VWAP_Trend,BUY,13.87,10,BRACKET,14.42,13.59
2025-11-21 16:32:25.105945,OPEN,MA_Crossover_50_200,BUY,6.57,10,BRACKET,6.83,6.44
2025-11-21 16:32:29.976246,SOFI,VWAP_Trend,SELL,24.78,10.0,LIMIT,,
2025-11-21 16:32:38.727340,UVIX,VWAP_Trend,BUY,12.31,10,BRACKET,12.8,12.06
2025-11-21 16:32:48.637108,AMZN,MA_Crossover_50_200,BUY,219.1,10,BRACKET,227.86,214.72
2025-11-21 16:32:58.358676,AAPL,MA_Crossover_50_200,BUY,269.53,10,BRACKET,280.31,264.14
2025-11-21 16:33:11.193854,GOOG,MA_Crossover_50_200,BUY,301.15,10,BRACKET,313.2,295.13
